Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017
"Appling County","Appling County, Georgia","1313333924","13417422","050","00","3","5","13001","13","001",18236,18236,9159,9077,18236,1306,1286,1331,771,1500,2193,2372,2688,2333,1489,712,255,18236,16532,12854,3360,40,125,11,10,132,1704,531,32,28,1,12,1037,63
"Atkinson County","Atkinson County, Georgia","878994487","13343157","050","00","3","5","13003","13","003",8375,8375,4240,4135,8375,708,648,682,392,804,1146,1136,1097,872,570,254,66,8375,6336,4776,1428,31,17,14,4,66,2039,437,25,16,6,10,1481,64
"Bacon County","Bacon County, Georgia","669707907","70568892","050","00","3","5","13005","13","005",11096,11096,5491,5605,11096,825,796,779,426,944,1483,1506,1443,1414,885,469,126,11096,10305,8431,1696,8,34,10,6,120,791,294,8,12,4,0,450,23
"Baker County","Baker County, Georgia","885629946","18634158","050","00","3","5","13007","13","007",3451,3451,1673,1778,3451,220,222,223,136,295,360,422,520,523,298,165,67,3451,3306,1642,1600,9,24,2,1,28,145,33,13,0,1,0,84,14
"Baldwin County","Baldwin County, Georgia","667812053","24779162","050","00","3","5","13009","13","009",45720,45720,22683,23037,45720,2775,2647,2407,1522,8412,5528,5161,6365,5395,3245,1651,612,45720,44801,24704,18866,85,580,18,55,493,919,417,99,13,2,1,324,63
"Banks County","Banks County, Georgia","601112234","4651183","050","00","3","5","13011","13","011",18395,18395,9298,9097,18395,1132,1315,1374,822,1569,2101,2668,2817,2297,1490,617,193,18395,17354,16526,416,36,165,0,9,202,1041,351,11,21,0,3,597,58
"Barrow County","Barrow County, Georgia","415198674","6817600","050","00","3","5","13013","13","013",69367,69367,34208,35159,69367,5832,5634,5165,2958,5765,10755,10427,9421,6938,3893,1887,692,69367,63330,51736,7769,130,2359,28,141,1167,6037,2929,120,56,23,8,2460,441
"Bartow County","Bartow County, Georgia","1190213681","27373871","050","00","3","5","13015","13","015",100157,100157,49433,50724,100157,6980,7572,7670,4578,8712,12852,15116,14894,11172,6464,3094,1053,100157,92467,79803,10024,288,705,54,102,1491,7690,3059,154,105,14,6,3751,601
"Ben Hill County","Ben Hill County, Georgia","647809208","9807089","050","00","3","5","13017","13","017",17634,17634,8439,9195,17634,1398,1279,1237,754,1515,2193,2145,2432,2213,1394,787,287,17634,16608,10164,6087,47,120,2,15,173,1026,282,17,9,6,0,650,62
"Berrien County","Berrien County, Georgia","1170407787","15503056","050","00","3","5","13019","13","019",19286,19286,9501,9785,19286,1325,1410,1345,859,1679,2308,2594,2780,2322,1598,815,251,19286,18401,16050,2040,44,82,3,8,174,885,277,23,12,0,1,502,70
"Bibb County","Bibb County, Georgia","646879637","14514058","050","00","3","5","13021","13","021",155547,155547,73286,82261,155547,11465,10931,10833,6890,16424,20188,19047,21631,18449,10462,6602,2625,155547,151158,65494,80744,287,2492,74,215,1852,4389,1705,372,45,39,46,1799,383
"Bleckley County","Bleckley County, Georgia","559100179","8447354","050","00","3","5","13023","13","023",13063,13063,6217,6846,13063,754,766,820,609,2158,1316,1471,1790,1408,1060,637,274,13063,12762,9000,3533,7,109,3,8,102,301,151,31,6,1,0,86,26
"Brantley County","Brantley County, Georgia","1145713216","12535638","050","00","3","5","13025","13","025",18411,18411,9189,9222,18411,1326,1284,1434,849,1544,2125,2555,2726,2308,1409,682,169,18411,18068,17198,531,56,37,2,10,234,343,182,7,2,1,0,113,38
"Brooks County","Brooks County, Georgia","1276982395","12314550","050","00","3","5","13027","13","027",16243,16243,7901,8342,16243,1095,1041,1004,710,1401,1805,2017,2425,2185,1472,824,264,16243,15390,9425,5695,48,51,5,17,149,853,297,34,1,0,9,460,52
"Bryan County","Bryan County, Georgia","1129148153","47887043","050","00","3","5","13029","13","029",30233,30233,14852,15381,30233,2203,2499,2545,1610,2339,3647,4504,4797,3374,1649,792,274,30233,28897,23446,4210,81,473,22,62,603,1336,808,76,17,13,3,264,155
"Bulloch County","Bulloch County, Georgia","1742568254","40963315","050","00","3","5","13031","13","031",70217,70217,35030,35187,70217,4197,4044,3761,2391,19579,8758,7238,7628,6220,3752,1933,716,70217,67778,46251,19252,142,1013,58,106,956,2439,964,157,41,7,6,1059,205
"Burke County","Burke County, Georgia","2141836337","20758796","050","00","3","5","13033","13","033",23316,23316,11186,12130,23316,1774,1893,1774,1144,2154,2672,2816,3419,2903,1663,840,264,23316,22699,10844,11469,47,68,20,11,240,617,226,64,2,9,0,249,67
