Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,SE_A00001_001,SE_A02001_002,SE_A02001_003,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010
1001,05000US01001,Autauga County,"Autauga County, Alabama",al,55380,26934,28446,13205,11864,22028,8283,53815,41315,10524,140,573,5,85,1173,1565
1003,05000US01003,Baldwin County,"Baldwin County, Alabama",al,212830,103496,109334,46235,39425,84639,42531,203119,176803,19525,1391,1955,9,344,3092,9711
1005,05000US01005,Barbour County,"Barbour County, Alabama",al,25361,13421,11940,5307,5732,9612,4710,24256,11618,12031,74,121,1,107,304,1105
1007,05000US01007,Bibb County,"Bibb County, Alabama",al,22493,12150,10343,4631,4970,9308,3584,21914,16763,4981,30,27,0,0,113,579
1009,05000US01009,Blount County,"Blount County, Alabama",al,57681,28495,29186,13389,11340,22626,10326,52339,50121,881,40,212,25,214,846,5342
1011,05000US01011,Bullock County,"Bullock County, Alabama",al,10248,5571,4677,2128,2290,4190,1640,9986,2191,7666,0,50,0,1,78,262
1013,05000US01013,Butler County,"Butler County, Alabama",al,19828,9081,10747,4455,3893,7580,3900,19551,10232,8928,11,69,0,0,311,277
1015,05000US01015,Calhoun County,"Calhoun County, Alabama",al,114618,55141,59477,24952,25687,44241,19738,110266,82608,23682,220,1007,14,185,2550,4352
1017,05000US01017,Chambers County,"Chambers County, Alabama",al,33660,16089,17571,7065,6934,13191,6470,32860,18697,13316,112,376,0,17,342,800
1019,05000US01019,Cherokee County,"Cherokee County, Alabama",al,25903,12777,13126,5245,4279,10568,5811,25490,23759,1191,280,64,0,0,196,413
1021,05000US01021,Chilton County,"Chilton County, Alabama",al,44055,21459,22596,10635,9156,17212,7052,40598,35302,4041,39,195,0,43,978,3457
1023,05000US01023,Choctaw County,"Choctaw County, Alabama",al,12925,6145,6780,2603,2269,5131,2922,12872,7287,5500,8,17,0,9,51,53
1025,05000US01025,Clarke County,"Clarke County, Alabama",al,24128,11403,12725,5287,4682,9480,4679,24049,12720,11044,26,104,0,0,155,79
1027,05000US01027,Clay County,"Clay County, Alabama",al,13337,6438,6899,2778,2603,5258,2698,12918,10717,2068,0,21,0,18,94,419
1029,05000US01029,Cleburne County,"Cleburne County, Alabama",al,14916,7309,7607,3383,2809,5825,2899,14549,13826,410,14,3,0,13,283,367
1031,05000US01031,Coffee County,"Coffee County, Alabama",al,51662,25479,26183,12259,10719,20134,8550,47899,36239,8680,601,745,0,57,1577,3763
1033,05000US01033,Colbert County,"Colbert County, Alabama",al,54771,26284,28487,11553,10847,21727,10644,53214,42830,8809,319,259,51,29,917,1557
1035,05000US01035,Conecuh County,"Conecuh County, Alabama",al,12394,6078,6316,2604,2297,4747,2746,12310,6203,5919,25,56,0,2,105,84
1037,05000US01037,Coosa County,"Coosa County, Alabama",al,10757,5462,5295,1801,1786,4740,2430,10648,6970,3615,8,0,0,55,0,109
1039,05000US01039,Covington County,"Covington County, Alabama",al,37200,17986,19214,8163,7076,14235,7726,36571,30984,4981,22,142,34,5,403,629
1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",al,13844,6748,7096,3106,2718,5411,2609,13734,9827,3202,92,175,9,0,429,110
1043,05000US01043,Cullman County,"Cullman County, Alabama",al,82853,40759,42094,18705,16750,32282,15116,79242,76129,1034,234,314,0,48,1483,3611
1045,05000US01045,Dale County,"Dale County, Alabama",al,49277,24301,24976,11385,11529,18282,8081,46067,33787,9749,280,603,4,160,1484,3210
1047,05000US01047,Dallas County,"Dallas County, Alabama",al,39149,18039,21110,9429,8091,14820,6809,38730,10694,27572,37,222,5,0,200,419
1049,05000US01049,DeKalb County,"DeKalb County, Alabama",al,71310,35318,35992,17510,14294,27623,11883,60934,57359,1021,766,86,150,20,1532,10376
1051,05000US01051,Elmore County,"Elmore County, Alabama",al,81144,39226,41918,18229,18287,32575,12053,78740,59364,17223,211,439,0,173,1330,2404
1053,05000US01053,Escambia County,"Escambia County, Alabama",al,37057,18856,18201,8288,7915,14288,6566,36192,22321,11850,1476,102,55,41,347,865
